image_name,x,y,z,heading_rad,label
000001.png,-0.9167,-0.3105,0.0031,1.4091,crossroad
000002.png,-0.9167,-0.3101,0.0031,1.8126,crossroad
000003.png,-0.9167,-0.3101,0.0031,2.1534,crossroad
000004.png,-0.9166,-0.3101,0.0031,2.4899,crossroad
000005.png,-0.9163,-0.3103,0.0031,2.8185,crossroad
000006.png,-0.916,-0.3104,0.0031,3.1387,crossroad
000007.png,-0.916,-0.3104,0.0031,-2.8324,crossroad
000008.png,-0.9162,-0.3105,0.0031,-2.529,crossroad
000009.png,-0.9162,-0.3105,0.0031,-2.2319,crossroad
000010.png,-0.9162,-0.3105,0.0031,-1.9376,crossroad
000011.png,-0.9163,-0.3109,0.0031,-1.6433,crossroad
000012.png,-0.9163,-0.3113,0.0031,-1.2873,crossroad
000013.png,-0.916,-0.3119,0.0031,-0.9911,crossroad
000014.png,-0.9158,-0.3121,0.0031,-0.6941,crossroad
000015.png,-0.9152,-0.3125,0.0031,-0.3981,crossroad
000016.png,-0.9148,-0.3126,0.0031,-0.0988,crossroad
000017.png,-0.9152,-0.3126,0.0031,0.2018,crossroad
000018.png,-0.9153,-0.3126,0.0031,0.5008,crossroad
000019.png,-0.9151,-0.3125,0.0031,0.7976,crossroad
000020.png,-0.9147,-0.312,0.0031,1.0902,crossroad
000021.png,-0.9146,-0.3117,0.0031,1.3869,crossroad
000022.png,-0.9146,-0.3109,0.0031,1.7446,crossroad
000023.png,-0.9148,-0.3102,0.0031,2.0432,crossroad
000024.png,-0.9151,-0.3097,0.0031,2.3407,crossroad
000025.png,-0.9149,-0.3098,0.0031,2.6387,crossroad
000026.png,-0.9145,-0.31,0.0031,2.9383,crossroad
000027.png,-0.9143,-0.31,0.0031,-3.0465,crossroad
000028.png,-0.9143,-0.31,0.0031,-2.7501,crossroad
000029.png,-0.9145,-0.3101,0.0031,-2.454,crossroad
000030.png,-0.9146,-0.3102,0.0031,-2.1609,crossroad
000031.png,-0.9146,-0.3102,0.0031,-1.8655,crossroad
000032.png,-0.9145,-0.3097,0.0031,-1.5117,crossroad
000033.png,-0.9145,-0.3097,0.0031,-1.2179,crossroad
000034.png,-0.9146,-0.3095,0.0031,-0.9232,crossroad
000035.png,-0.9149,-0.3092,0.0031,-0.6249,crossroad
000036.png,-0.9147,-0.3093,0.0031,-0.324,crossroad
000037.png,-0.9144,-0.3093,0.0031,-0.0254,crossroad
000038.png,-0.9141,-0.3093,0.0031,0.2715,crossroad
000039.png,-0.9138,-0.3091,0.0031,0.5696,crossroad
000040.png,-0.9131,-0.3086,0.0031,0.8649,crossroad
000041.png,-0.9131,-0.3087,0.0031,1.16,crossroad
000042.png,-0.9132,-0.3092,0.0031,1.5703,crossroad
000043.png,-0.9132,-0.3099,0.0031,1.8619,crossroad
000044.png,-0.913,-0.3102,0.0031,2.1543,crossroad
000045.png,-0.9129,-0.3104,0.0031,2.4521,crossroad
000046.png,-0.913,-0.3103,0.0031,2.7485,crossroad
000047.png,-0.9136,-0.3102,0.0031,3.0441,crossroad
000048.png,-0.9137,-0.3102,0.0031,-2.9408,crossroad
000049.png,-0.9139,-0.3102,0.0031,-2.6399,crossroad
000050.png,-0.9142,-0.3104,0.0031,-2.3392,crossroad
000051.png,-0.9146,-0.3109,0.0031,-2.0413,crossroad
000052.png,-0.9148,-0.3117,0.0031,-1.6827,crossroad
000053.png,-0.9148,-0.312,0.0031,-1.3828,crossroad
000054.png,-0.9148,-0.3121,0.0031,-1.0861,crossroad
000055.png,-0.9148,-0.3121,0.0031,-0.7897,crossroad
000056.png,-0.9147,-0.3122,0.0031,-0.6103,crossroad
000057.png,-0.9151,-0.3119,0.0031,-0.6064,crossroad
000058.png,-0.9156,-0.3116,0.0031,-0.6024,crossroad
000059.png,-0.916,-0.3113,0.0031,-0.5985,crossroad
000060.png,-0.9164,-0.3111,0.0031,-0.5946,crossroad
000061.png,-0.9168,-0.3108,0.0031,-0.5636,crossroad
000062.png,-0.9139,-0.3125,0.0031,-0.5,crossroad
